,Name,Price,Original Price,Brand,Overall Rating,No of ratings,Type,Effective Pixels,Link
20,SONY Alpha ILCE-6400 APS-C Mirrorless Camera Body Only Featuring Eye AF and 4K movie recording,72990,80490,SONY,4.6,495,Mirrorless,24.2,https://www.flipkart.com/sony-alpha-ilce-6400-aps-c-mirrorless-camera-body-only-featuring-eye-af-4k-movie-recording/p/itm166fa2e5ce8c4?pid=DLLFDJ5TNFYM4DZY&lid=LSTDLLFDJ5TNFYM4DZYV9KH5H&marketplace=FLIPKART&store=jek%2Fp31&srno=b_1_21&otracker=browse&fm=organic&iid=74c8abe7-6258-49a7-ac99-efb0ab2a7a9c.DLLFDJ5TNFYM4DZY.SEARCH&ppt=None&ppn=None&ssid=qvy935l8e80000001673092576194
21,VOLTAC WIFI ULTRA 4k Sports Powershoot S2 Shoot Series camera for Travel Bike Adventure 170 Degree Wide Angle 30M underwater Waterproof Sports and Action Camera,2399,5999,VOLTAC,4.2,6,,16,https://www.flipkart.com/voltac-wifi-ultra-4k-sports-powershoot-s2-shoot-series-camera-travel-bike-adventure-170-degree-wide-angle-30m-underwater-waterproof-action/p/itm9cda70516ed39?pid=SAYGGW7ESCCDXHXC&lid=LSTSAYGGW7ESCCDXHXC0GFVGA&marketplace=FLIPKART&store=jek%2Fp31&srno=b_1_22&otracker=browse&fm=organic&iid=74c8abe7-6258-49a7-ac99-efb0ab2a7a9c.SAYGGW7ESCCDXHXC.SEARCH&ppt=None&ppn=None&ssid=qvy935l8e80000001673092576194
22,"Bzrqx MINI CAMERA Mini Spy Camera, Wireless WiFi Camera Home Security Surveillance Cam Motion Sports and Action Camera",999,2899,Bzrqx,No rating,No rating,,12,https://www.flipkart.com/bzrqx-mini-camera-spy-camera-wireless-wifi-home-security-surveillance-cam-motion-sports-action/p/itm9a68c88ec4c25?pid=SAYGG7PJFFRJKTF6&lid=LSTSAYGG7PJFFRJKTF6KZSBWY&marketplace=FLIPKART&store=jek%2Fp31&srno=b_1_23&otracker=browse&fm=organic&iid=74c8abe7-6258-49a7-ac99-efb0ab2a7a9c.SAYGG7PJFFRJKTF6.SEARCH&ppt=None&ppn=None&ssid=qvy935l8e80000001673092576194
23,Insta360 One RS Twin Edition Sports and Action Camera,43990,54990,Insta360,3.9,29,,48,https://www.flipkart.com/insta360-one-rs-twin-sports-action-camera/p/itm2a1cdf0dff5f9?pid=SAYGCRFRAW8NJ7D7&lid=LSTSAYGCRFRAW8NJ7D7S9UNQW&marketplace=FLIPKART&store=jek%2Fp31&srno=b_1_24&otracker=browse&fm=organic&iid=74c8abe7-6258-49a7-ac99-efb0ab2a7a9c.SAYGCRFRAW8NJ7D7.SEARCH&ppt=None&ppn=None&ssid=qvy935l8e80000001673092576194
24,Canon EOS R10 Mirrorless Camera Body Only,80995,80995,Canon,4.9,14,Mirrorless,24.2,https://www.flipkart.com/canon-eos-r10-mirrorless-camera-body-only/p/itmf0f859f7f3367?pid=DLLGFXCMZWQPBCHD&lid=LSTDLLGFXCMZWQPBCHDGOLAFC&marketplace=FLIPKART&store=jek%2Fp31&srno=b_2_25&otracker=browse&fm=organic&iid=ca64904e-7554-452d-86c6-a4c850ed49d4.DLLGFXCMZWQPBCHD.SEARCH&ppt=None&ppn=None&ssid=x35bhc0t3k0000001673092576902
25,SROPX MINI Mini Spy Magnet Camera WiFi Hidden Camera Wireless HD 1080P Indoor Home Sports and Action Camera,999,2999,SROPX,2.7,3,,12,https://www.flipkart.com/sropx-mini-spy-magnet-camera-wifi-hidden-wireless-hd-1080p-indoor-home-sports-action/p/itmcdb2a4e88ef4a?pid=SAYGEWUVG5NFSSED&lid=LSTSAYGEWUVG5NFSSEDYMLS38&marketplace=FLIPKART&store=jek%2Fp31&srno=b_2_26&otracker=browse&fm=organic&iid=ca64904e-7554-452d-86c6-a4c850ed49d4.SAYGEWUVG5NFSSED.SEARCH&ppt=None&ppn=None&ssid=x35bhc0t3k0000001673092576902
26,SONY Alpha ILCE-6100 APS-C Mirrorless Camera Body Only Featuring Eye AF and 4K movie recording,56990,64990,SONY,4.6,237,Mirrorless,24.2,https://www.flipkart.com/sony-alpha-ilce-6100-aps-c-mirrorless-camera-body-only-featuring-eye-af-4k-movie-recording/p/itmfe1d3084d239e?pid=CAMFM67HNWZRQMC4&lid=LSTCAMFM67HNWZRQMC4088ORK&marketplace=FLIPKART&store=jek%2Fp31&srno=b_2_27&otracker=browse&fm=organic&iid=ca64904e-7554-452d-86c6-a4c850ed49d4.CAMFM67HNWZRQMC4.SEARCH&ppt=None&ppn=None&ssid=x35bhc0t3k0000001673092576902
27,FUJIFILM Instax Treasure Box Mini 9 Instant Camera,5499,5999,FUJIFILM,4.4,821,,,https://www.flipkart.com/fujifilm-instax-treasure-box-mini-9-instant-camera/p/itm420bafeeb0e31?pid=INAG37FNPCUGGXTQ&lid=LSTINAG37FNPCUGGXTQXVKC4S&marketplace=FLIPKART&store=jek%2Fp31&srno=b_2_28&otracker=browse&fm=organic&iid=ca64904e-7554-452d-86c6-a4c850ed49d4.INAG37FNPCUGGXTQ.SEARCH&ppt=None&ppn=None&ssid=x35bhc0t3k0000001673092576902
28,Insta360 One RS Twin Edition Sports and Action Camera,43990,54990,Insta360,3.9,29,,48,https://www.flipkart.com/insta360-one-rs-twin-sports-action-camera/p/itm2a1cdf0dff5f9?pid=SAYGCRFRAW8NJ7D7&lid=LSTSAYGCRFRAW8NJ7D7S9UNQW&marketplace=FLIPKART&store=jek%2Fp31&srno=b_2_29&otracker=browse&fm=organic&iid=ca64904e-7554-452d-86c6-a4c850ed49d4.SAYGCRFRAW8NJ7D7.SEARCH&ppt=None&ppn=None&ssid=x35bhc0t3k0000001673092576902
29,RHONNIUM Plain 1080-HD Cam-042 ™ 30M Depth 16 MP Ultra HD Under Water Sports and Action Camera,1299,2499,RHONNIUM,3.1,21,,12,https://www.flipkart.com/rhonnium-plain-1080-hd-cam-042-30m-depth-16-mp-ultra-hd-under-water-sports-action-camera/p/itm3e1c72d7556b0?pid=SAYFFWXZCKE43R4Z&lid=LSTSAYFFWXZCKE43R4ZFHAHGC&marketplace=FLIPKART&store=jek%2Fp31&srno=b_2_30&otracker=browse&fm=organic&iid=ca64904e-7554-452d-86c6-a4c850ed49d4.SAYFFWXZCKE43R4Z.SEARCH&ppt=None&ppn=None&ssid=x35bhc0t3k0000001673092576902
30,SJCAM SJ 4000 Air 4K Full HD WiFi 30M Waterproof Sports Action Camera Waterproof DV Camcorder 16MP Sports and Action Camera,5299,8400,SJCAM,3.7,"4,846",,16,https://www.flipkart.com/sjcam-sj-4000-air-4k-full-hd-wifi-30m-waterproof-sports-action-camera-dv-camcorder-16mp/p/itm3f81a086c29fd?pid=SAYF956CJMBUUJFK&lid=LSTSAYF956CJMBUUJFKNMENUA&marketplace=FLIPKART&store=jek%2Fp31&srno=b_2_31&otracker=browse&fm=organic&iid=ca64904e-7554-452d-86c6-a4c850ed49d4.SAYF956CJMBUUJFK.SEARCH&ppt=None&ppn=None&ssid=x35bhc0t3k0000001673092576902
31,FUJIFILM Instax Treasure box Mini 9 Instant Camera,5499,7499,FUJIFILM,4.4,821,,,https://www.flipkart.com/fujifilm-instax-treasure-box-mini-9-instant-camera/p/itm4a7fa2e94aaa5?pid=INAGHYS53KK5AWEC&lid=LSTINAGHYS53KK5AWECVMWMLX&marketplace=FLIPKART&store=jek%2Fp31&srno=b_2_32&otracker=browse&fm=organic&iid=ca64904e-7554-452d-86c6-a4c850ed49d4.INAGHYS53KK5AWEC.SEARCH&ppt=None&ppn=None&ssid=x35bhc0t3k0000001673092576902
32,SJCAM SJ6 Legend SJ6 Legend Sports and Action Camera,10102,17000,SJCAM,4.1,"2,854",,16,https://www.flipkart.com/sjcam-sj6-legend-sports-action-camera/p/itm2b2cd9486bc71?pid=CAMEW2KNCZSQH22J&lid=LSTCAMEW2KNCZSQH22JYGYTUV&marketplace=FLIPKART&store=jek%2Fp31&srno=b_2_33&otracker=browse&fm=organic&iid=ca64904e-7554-452d-86c6-a4c850ed49d4.CAMEW2KNCZSQH22J.SEARCH&ppt=None&ppn=None&ssid=x35bhc0t3k0000001673092576902
33,SONY ZV-E10 Mirrorless Camera Body Only Vlog Camera,52599,59490,SONY,4.5,216,Mirrorless,24.2,https://www.flipkart.com/sony-zv-e10-mirrorless-camera-body-only-vlog/p/itm7f51f42599b5f?pid=DLLG6G8UNHFCDYY9&lid=LSTDLLG6G8UNHFCDYY9F9XICP&marketplace=FLIPKART&store=jek%2Fp31&srno=b_2_34&otracker=browse&fm=organic&iid=ca64904e-7554-452d-86c6-a4c850ed49d4.DLLG6G8UNHFCDYY9.SEARCH&ppt=None&ppn=None&ssid=x35bhc0t3k0000001673092576902
34,FUJIFILM Instax Treasure Box Mini 9 Instant Camera,5499,5999,FUJIFILM,4.4,821,,,https://www.flipkart.com/fujifilm-instax-treasure-box-mini-9-instant-camera/p/itm1c4c8f0ed059e?pid=INAG37FNJHWHMFAB&lid=LSTINAG37FNJHWHMFABKICG6V&marketplace=FLIPKART&store=jek%2Fp31&srno=b_2_35&otracker=browse&fm=organic&iid=ca64904e-7554-452d-86c6-a4c850ed49d4.INAG37FNJHWHMFAB.SEARCH&ppt=None&ppn=None&ssid=x35bhc0t3k0000001673092576902
35,"IC Plius 6 Spy Camera Button HD Camera/Audio/ Record/Support Spy Camera (32 GB, ) Sports and Action Camera",870,2000,IC Plius,3.3,68,,1080,https://www.flipkart.com/ic-plius-6-spy-camera-button-hd-camera-audio-record-support-32-gb-sports-action/p/itm987c0df98910e?pid=SAYGAC78RKDPNMGH&lid=LSTSAYGAC78RKDPNMGHCAYNGE&marketplace=FLIPKART&store=jek%2Fp31&srno=b_2_36&otracker=browse&fm=organic&iid=ca64904e-7554-452d-86c6-a4c850ed49d4.SAYGAC78RKDPNMGH.SEARCH&ppt=None&ppn=None&ssid=x35bhc0t3k0000001673092576902
36,Bzrqx MINI CAMERA SPY Smart Security Camera WI-FI Full HD 1080P With Microphone Watch Live Sports and Action Camera,999,2999,Bzrqx,No rating,No rating,,12,https://www.flipkart.com/bzrqx-mini-camera-spy-smart-security-wi-fi-full-hd-1080p-microphone-watch-live-sports-action/p/itmf0c6557c681a7?pid=SAYGG8NNZZAJHZ8H&lid=LSTSAYGG8NNZZAJHZ8HSGGJTF&marketplace=FLIPKART&store=jek%2Fp31&srno=b_2_37&otracker=browse&fm=organic&iid=ca64904e-7554-452d-86c6-a4c850ed49d4.SAYGG8NNZZAJHZ8H.SEARCH&ppt=None&ppn=None&ssid=x35bhc0t3k0000001673092576902
37,"IC PLUS 6 Full HD 1080p Action Camera Waterproof Sport Camera with 2 Inch LCD Screen, 16MP 170 Degree Wide Angle for Youtuber/Bike Rider's/Helmet/Stunt Recorder Sports and Action Camera",1366,1873,IC PLUS,No rating,No rating,,1080,https://www.flipkart.com/ic-plus-6-full-hd-1080p-action-camera-waterproof-sport-2-inch-lcd-screen-16mp-170-degree-wide-angle-youtuber-bike-rider-s-helmet-stunt-recorder-sports/p/itm816c188b739fb?pid=SAYG9KF2HKAGFP7N&lid=LSTSAYG9KF2HKAGFP7NEQ5RGS&marketplace=FLIPKART&store=jek%2Fp31&srno=b_2_38&otracker=browse&fm=organic&iid=ca64904e-7554-452d-86c6-a4c850ed49d4.SAYG9KF2HKAGFP7N.SEARCH&ppt=None&ppn=None&ssid=x35bhc0t3k0000001673092576902
38,SROPX MINI Wireless Hidden Video Audio Full HD 1080P CCTV WiFi IP Camera with Night Vision Sports and Action Camera,999,2499,SROPX,3,28,,12,https://www.flipkart.com/sropx-mini-wireless-hidden-video-audio-full-hd-1080p-cctv-wifi-ip-camera-night-vision-sports-action/p/itmda7ffcc605a42?pid=SAYGFHFVKRGSHQFQ&lid=LSTSAYGFHFVKRGSHQFQFR7J3K&marketplace=FLIPKART&store=jek%2Fp31&srno=b_2_39&otracker=browse&fm=organic&iid=ca64904e-7554-452d-86c6-a4c850ed49d4.SAYGFHFVKRGSHQFQ.SEARCH&ppt=None&ppn=None&ssid=x35bhc0t3k0000001673092576902
